Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa
OG0013644	jgi|Allma1|28|AMAG_00034T0						
OG0013645	jgi|Allma1|43|AMAG_17612T0						
OG0013646	jgi|Allma1|56|AMAG_17614T0						
OG0013647	jgi|Allma1|57|AMAG_00060T0						
OG0013648	jgi|Allma1|68|AMAG_17615T0						
OG0013649	jgi|Allma1|89|AMAG_00093T0						
OG0013650	jgi|Allma1|93|AMAG_00097T0						
OG0013651	jgi|Allma1|97|AMAG_00101T0						
OG0013652	jgi|Allma1|106|AMAG_00111T0						
OG0013653	jgi|Allma1|111|AMAG_00118T0						
OG0013654	jgi|Allma1|123|AMAG_00127T0						
OG0013655	jgi|Allma1|124|AMAG_00128T0						
OG0013656	jgi|Allma1|129|AMAG_00133T0						
OG0013657	jgi|Allma1|132|AMAG_00136T0						
OG0013658	jgi|Allma1|138|AMAG_17625T0						
OG0013659	jgi|Allma1|207|AMAG_00201T0						
OG0013660	jgi|Allma1|215|AMAG_00208T0						
OG0013661	jgi|Allma1|238|AMAG_00230T0						
OG0013662	jgi|Allma1|268|AMAG_17640T0						
OG0013663	jgi|Allma1|269|AMAG_17641T0						
OG0013664	jgi|Allma1|302|AMAG_00289T0						
OG0013665	jgi|Allma1|306|AMAG_00292T0						
OG0013666	jgi|Allma1|408|AMAG_00384T0						
OG0013667	jgi|Allma1|453|AMAG_00429T0						
OG0013668	jgi|Allma1|467|AMAG_00442T0						
OG0013669	jgi|Allma1|468|AMAG_00443T0						
OG0013670	jgi|Allma1|473|AMAG_00447T0						
OG0013671	jgi|Allma1|486|AMAG_17676T0						
OG0013672	jgi|Allma1|506|AMAG_00479T0						
OG0013673	jgi|Allma1|507|AMAG_00480T0						
OG0013674	jgi|Allma1|517|AMAG_17679T0						
OG0013675	jgi|Allma1|556|AMAG_00527T0						
OG0013676	jgi|Allma1|714|AMAG_17695T0						
OG0013677	jgi|Allma1|723|AMAG_00685T0						
OG0013678	jgi|Allma1|738|AMAG_17700T0						
OG0013679	jgi|Allma1|819|AMAG_00772T0						
OG0013680	jgi|Allma1|850|AMAG_00801T0						
OG0013681	jgi|Allma1|890|AMAG_00837T0						
OG0013682	jgi|Allma1|903|AMAG_17718T0						
OG0013683	jgi|Allma1|919|AMAG_17719T0						
OG0013684	jgi|Allma1|941|AMAG_17722T0						
OG0013685	jgi|Allma1|942|AMAG_17723T0						
OG0013686	jgi|Allma1|944|AMAG_00887T0						
OG0013687	jgi|Allma1|956|AMAG_00898T0						
OG0013688	jgi|Allma1|963|AMAG_00905T0						
OG0013689	jgi|Allma1|973|AMAG_00913T0						
OG0013690	jgi|Allma1|1015|AMAG_00954T0						
OG0013691	jgi|Allma1|1018|AMAG_00957T0						
OG0013692	jgi|Allma1|1033|AMAG_00972T0						
OG0013693	jgi|Allma1|1041|AMAG_00981T1						
OG0013694	jgi|Allma1|1106|AMAG_01040T0						
OG0013695	jgi|Allma1|1119|AMAG_01052T0						
OG0013696	jgi|Allma1|1125|AMAG_18693T0						
OG0013697	jgi|Allma1|1130|AMAG_06590T0						
OG0013698	jgi|Allma1|1141|AMAG_06601T0						
OG0013699	jgi|Allma1|1144|AMAG_06605T0						
OG0013700	jgi|Allma1|1159|AMAG_18699T0						
OG0013701	jgi|Allma1|1164|AMAG_18700T0						
OG0013702	jgi|Allma1|1195|AMAG_18704T0						
OG0013703	jgi|Allma1|1217|AMAG_06672T0						
OG0013704	jgi|Allma1|1250|AMAG_06706T0						
OG0013705	jgi|Allma1|1252|AMAG_18712T0						
OG0013706	jgi|Allma1|1254|AMAG_18714T0						
